8.7298,69.4938,114.55,14.3898
6.94572,8.6501,143.974,115.606
6.94079,8.3521,144.076,119.73
6.94752,8.4964,143.936,117.697
6.9413,8.3847,144.065,119.265
7.56978,50.963,132.104,19.6221
6.94684,7.9668,143.95,125.521
6.93995,8.456,144.093,118.259
6.94888,8.1188,143.908,123.171
6.93985,8.1031,144.095,123.41
6.9446,8.5411,143.997,117.081
6.94691,8.6475,143.949,115.64
6.94299,8.2333,144.03,121.458
7.46417,44.5002,133.973,22.4718
6.94447,8.8106,144,113.5
6.94471,8.5032,143.994,117.603
6.94193,8.2215,144.052,121.632
6.95967,8.427,143.685,118.666
6.96079,9.2227,143.662,108.428
6.91508,8.7556,144.611,114.213
6.94837,8.6421,143.919,115.713
7.56086,47.9211,132.26,20.8676
6.94738,8.1115,143.939,123.282
